FID_EXT,Districts,RX1,CWD,Both
554,Sipahijala,0.407685345,0.407685345,0.407685345
555,South Tripura,0.313561984,0.313561984,0.313561984
556,Unokoti,1.648809103,1.648809103,1.648809103
557,West Tripura,0.607861675,0.607861675,0.607861675
558,Agra,0,0,0
559,Aligarh,0,0.678026481,0.33901324
560,Allahabad,0.847726791,1.695453582,1.271590186
561,Ambedkar Nagar,0,0,0
562,Amethi,1.206735637,2.413471275,1.810103456
563,Amroha,0,1.712689457,0.856344728
564,Auraiya,1.880636609,1.880636609,1.880636609
565,Azamgarh,1.913825392,1.913825392,1.913825392
566,Baghpat,0.335304196,0.335304196,0.335304196
567,Bahraich,4.038651326,4.038651326,4.038651326
568,Ballia,2.344295074,2.344295074,2.344295074
569,Balrampur,0,2.238166192,1.119083096
570,Banda,0,2.916247692,1.458123846
571,Barabanki,2.29737358,2.29737358,2.29737358
572,Bareilly,1.895344638,1.895344638,1.895344638
573,Basti,1.347704678,1.347704678,1.347704678
574,Bijnor,2.682973965,1.341486983,2.012230474
575,Budaun,2.542532459,2.542532459,2.542532459
576,Bulandshahr,1.971119287,1.971119287,1.971119287
577,Chandauli,0.910172503,1.820345006,1.365258754
578,Chitrakoot,0,3.632473262,1.816236631
579,Deoria,1.276766759,2.127944599,1.702355679
580,Etah,1.715918908,1.715918908,1.715918908
581,Etawah,0.314505962,1.258023846,0.786264904
582,Faizabad,1.730246566,1.730246566,1.730246566
583,Farrukhabad,0,2.963458845,1.481729422
584,Fatehpur,0,2.79983858,1.39991929
585,Firozabad,0,2.253485272,1.126742636
586,Gautam Buddha Nagar,0.991355464,0.991355464,0.991355464
587,Ghaziabad,0.483707995,0.967415991,0.725561993
588,Ghazipur,0,1.717302364,0.858651182
589,Gonda,1.426459133,1.426459133,1.426459133
590,Gorakhpur,1.682209308,1.682209308,1.682209308
591,Hamirpur,0,0.61000766,0.30500383
592,Hapur,0.591856561,1.183713123,0.887784842
593,Hardoi,2.131315349,3.196973024,2.664144187
594,Hathras,0,0,0
595,Jalaun,0.820929416,0.820929416,0.820929416
596,Jaunpur,0,0,0
597,Jhansi,0.721828131,0.721828131,0.721828131
598,Kannauj,0,3.003156054,1.501578027
599,Kanpur Dehat,0,2.380426912,1.190213456
600,Kanpur Nagar,0,2.168094873,1.084047437
601,Kasganj,1.203676834,1.805515251,1.504596042
602,Kaushambi,2.450459502,2.450459502,2.450459502
603,Kushinagar,0,2.981256736,1.490628368
604,Lakhimpur Kheri,1.858791165,1.23919411,1.548992638
605,Lalitpur,0.164351244,0.328702487,0.246526865
606,Lucknow,1.43838005,1.43838005,1.43838005
607,Maharajganj,0,3.15287349,1.576436745
608,Mahoba,0,0.418087979,0.209043989
609,Mainpuri,0,0,0
610,Mathura,0,0,0
611,Mau,0,1.605475773,0.802737887
612,Meerut,0,1.343343971,0.671671986
613,Mirzapur,0.74376531,1.487530621,1.115647966
614,Moradabad,0.931613449,2.329033622,1.630323536
615,Muzaffarnagar,1.894402408,0,0.947201204
616,Pilibhit,1.935605908,1.935605908,1.935605908
617,Pratapgarh,2.007526764,2.007526764,2.007526764
618,Rae Bareli,0,2.128099941,1.064049971
619,Rampur,0,0.83063477,0.415317385
620,Saharanpur,1.624495398,1.624495398,1.624495398
621,Sambhal,0,2.726143568,1.363071784
622,Sant Kabir Nagar,2.629481846,2.629481846,2.629481846
623,Sant Ravi Das Nagar,0.369929416,1.109788248,0.739858832
624,Shahjahanpur,1.056390364,0,0.528195182
625,Shamli,0.975455898,0,0.487727949
626,Shravasti,0,2.668554395,1.334277198
627,Siddharth Nagar,3.40842281,3.40842281,3.40842281
628,Sitapur,3.257878659,3.257878659,3.257878659
629,Sonbhadra,0,1.330236219,0.66511811
630,Sultanpur,2.751868383,2.751868383,2.751868383
631,Unnao,0,4.170274782,2.085137391
632,Varanasi,1.430616866,1.430616866,1.430616866
